nameWithOwner;url;stars;age;releases;pullRequests;primaryLanguage;cbo;dit;lcom;loc
googlesamples/easypermissions;https://github.com/googlesamples/easypermissions;9245;5.7;12;114;Java;8.676470588235293;1.4411764705882353;15.784457099999996;1705
thingsboard/thingsboard;https://github.com/thingsboard/thingsboard;9216;4.8;44;2192;Java;8.06576670128072;1.6119764624437523;714.7778025619987;119726
perwendel/spark;https://github.com/perwendel/spark;9161;10.4;0;517;Java;4.5225225225225225;1.2927927927927927;54.15007401300001;9588
square/javapoet;https://github.com/square/javapoet;9130;8.6;0;468;Java;4.45;1.14;25.769386459999993;7519
navasmdc/MaterialDesignLibrary;https://github.com/navasmdc/MaterialDesignLibrary;9119;6.9;3;92;Java;4.481927710843373;1.7951807228915662;21.78579282;2927
clojure/clojure;https://github.com/clojure/clojure;9089;11.2;0;88;Java;3.738537794299876;1.5613382899628252;111.3744455419999;43842
bilibili/DanmakuFlameMaster;https://github.com/bilibili/DanmakuFlameMaster;9062;8.1;5;63;Java;5.132947976878612;1.6011560693641618;53.548726769999995;12879
grpc/grpc-java;https://github.com/grpc/grpc-java;9048;6.8;96;5809;Java;6.020857208342884;1.512033004813202;786.8749133239995;195669
MyCATApache/Mycat-Server;https://github.com/MyCATApache/Mycat-Server;9046;6.8;7;1205;Java;5.596899224806202;1.2953488372093023;441.47253163300013;92790
jhy/jsoup;https://github.com/jhy/jsoup;9005;11.7;4;419;Java;5.493865030674846;1.8098159509202454;52.48043931000001;26988
careercup/CtCI-6th-Edition;https://github.com/careercup/CtCI-6th-Edition;8995;6.2;0;160;Java;2.237704918032787;1.0672131147540984;77.562510756;21093
apereo/cas;https://github.com/apereo/cas;8929;10.0;191;3919;Java;10.045744680851064;1.5825227963525836;1575.0146421399972;167844
pxb1988/dex2jar;https://github.com/pxb1988/dex2jar;8928;6.5;4;19;Java;5.366269165247019;1.5434412265758093;112.89330358599994;41211
koral--/android-gif-drawable;https://github.com/koral--/android-gif-drawable;8924;8.6;55;128;Java;6.0606060606060606;1.621212121212121;15.680495749999999;2931
termux/termux-app;https://github.com/termux/termux-app;8922;5.9;88;217;Java;5.652;1.432;74.03700916000001;19540
hackware1993/MagicIndicator;https://github.com/hackware1993/MagicIndicator;8854;5.2;12;11;Java;4.951923076923077;1.3269230769230769;22.0136382;4533
zaproxy/zaproxy;https://github.com/zaproxy/zaproxy;8793;6.3;227;2648;Java;5.585581957309706;2.4522754732178815;1015.7810698469983;176128
roughike/BottomBar;https://github.com/roughike/BottomBar;8452;5.5;4;139;Java;4.835820895522388;1.2686567164179106;9.76977989;2834
GcsSloop/AndroidNote;https://github.com/GcsSloop/AndroidNote;8357;5.7;0;15;Java;4.333333333333333;1.2222222222222223;2.25948046;402
florent37/MaterialViewPager;https://github.com/florent37/MaterialViewPager;8226;6.4;11;35;Java;4.444444444444445;1.2666666666666666;8.00756187;1616
alibaba/atlas;https://github.com/alibaba/atlas;7993;4.5;7;55;Java;5.859225512528474;1.4469248291571755;587.1403426049999;157514
crossoverJie/cim;https://github.com/crossoverJie/cim;7936;3.3;7;36;Java;4.80225988700565;1.2768361581920904;42.58466720600003;7280
HannahMitt/HomeMirror;https://github.com/HannahMitt/HomeMirror;7904;6.1;0;20;Java;2.6865671641791047;1.0597014925373134;8.88891264;1719
amitshekhariitbhu/Android-Debug-Database;https://github.com/amitshekhariitbhu/Android-Debug-Database;7887;4.8;12;51;Java;4.080645161290323;1.2580645161290323;13.789353909999999;2393
ChrisRM/material-theme-jetbrains;https://github.com/ChrisRM/material-theme-jetbrains;7885;6.0;17;99;Java;4.315642458100559;2.2486033519553073;72.42328063999999;14517
newbee-ltd/newbee-mall;https://github.com/newbee-ltd/newbee-mall;7857;2.0;0;6;Java;4.9222222222222225;1.0555555555555556;31.44550687;3952
firebase/quickstart-android;https://github.com/firebase/quickstart-android;7824;5.4;0;540;Java;5.116666666666666;1.3666666666666667;44.66424157;6776
MindorksOpenSource/android-interview-questions;https://github.com/MindorksOpenSource/android-interview-questions;7821;4.2;0;84;Java;0;0.5;0.0;5
huanghaibin-dev/CalendarView;https://github.com/huanghaibin-dev/CalendarView;7818;4.5;0;22;Java;6.531073446327683;2.146892655367232;55.163568720000015;11557
Netflix/SimianArmy;https://github.com/Netflix/SimianArmy;7792;9.2;4;224;Java;5.826797385620915;1.4183006535947713;85.15717322999997;16056
jwtk/jjwt;https://github.com/jwtk/jjwt;7750;7.0;0;219;Java;3.8986486486486487;2.074324324324324;34.779726200000006;5204
guolindev/LitePal;https://github.com/guolindev/LitePal;7724;8.6;0;7;Java;4.985148514851486;1.6435643564356435;49.744721009999985;11830
JakeWharton/hugo;https://github.com/JakeWharton/hugo;7700;7.8;0;58;Java;5.0;1.0;1.2;384
trello/RxLifecycle;https://github.com/trello/RxLifecycle;7681;6.1;22;157;Java;6.353658536585366;1.6341463414634145;9.48149363;2469
hs-web/hsweb-framework;https://github.com/hs-web/hsweb-framework;7660;5.6;22;64;Java;6.094476744186046;1.2296511627906976;145.77450403;16784
shwenzhang/AndResGuard;https://github.com/shwenzhang/AndResGuard;7646;5.9;4;48;Java;3.373134328358209;1.4776119402985075;28.24981776;6506
square/moshi;https://github.com/square/moshi;7590;7.1;0;672;Java;4.071641791044776;1.1940298507462686;39.62806956700001;18214
airbnb/epoxy;https://github.com/airbnb/epoxy;7509;5.1;68;454;Java;5.9601449275362315;1.9365942028985508;207.4195617599999;31003
kaushikgopal/RxJava-Android-Samples;https://github.com/kaushikgopal/RxJava-Android-Samples;7489;7.1;0;68;Java;6.551724137931035;1.8045977011494252;22.131467739999998;2633
dropwizard/metrics;https://github.com/dropwizard/metrics;7420;11.5;70;1533;Java;5.319467554076539;1.3344425956738768;154.73304086999997;24794
OpenFeign/feign;https://github.com/OpenFeign/feign;7400;8.2;20;697;Java;4.633408071748879;1.797085201793722;132.68010845999987;26165
aritraroy/UltimateAndroidReference;https://github.com/aritraroy/UltimateAndroidReference;7367;4.4;0;105;Java;0.5;0.5;0.25;22
macrozheng/mall-swarm;https://github.com/macrozheng/mall-swarm;7346;1.8;1;17;Java;3.865284974093264;1.2370466321243523;275.1743159200005;100941
google/agera;https://github.com/google/agera;7296;5.7;16;125;Java;6.305841924398625;1.2371134020618557;60.19242296;10897
react-native-image-picker/react-native-image-picker;https://github.com/react-native-image-picker/react-native-image-picker;7279;6.3;83;395;Java;5.0;1.2307692307692308;2.29697906;659
square/dagger;https://github.com/square/dagger;7278;9.1;0;293;Java;3.159313725490196;1.2303921568627452;39.766965420000005;8014
facebook/litho;https://github.com/facebook/litho;7264;4.6;46;438;Java;7.485929319371728;1.2657068062827226;561.3668494890004;133520
Bearded-Hen/Android-Bootstrap;https://github.com/Bearded-Hen/Android-Bootstrap;7236;7.9;5;70;Java;6.875;1.65;36.883628030000004;10389
resilience4j/resilience4j;https://github.com/resilience4j/resilience4j;7235;6.3;29;683;Java;7.021333333333334;1.5928888888888888;223.9876862659998;45751
cymcsg/UltimateRecyclerView;https://github.com/cymcsg/UltimateRecyclerView;7229;6.6;9;109;Java;5.201044386422977;1.6892950391644908;87.44902685;16083
apache/shardingsphere-elasticjob;https://github.com/apache/shardingsphere-elasticjob;7224;6.0;26;900;Java;5.860402684563758;1.2577181208053692;164.42850582099993;21442
lecho/hellocharts-android;https://github.com/lecho/hellocharts-android;7214;6.9;14;45;Java;6.383116883116883;1.655844155844156;47.96543513999999;10995
pedant/sweet-alert-dialog;https://github.com/pedant/sweet-alert-dialog;7205;6.9;2;28;Java;4.117647058823529;1.1764705882352942;4.01162169;943
JakeWharton/ActionBarSherlock;https://github.com/JakeWharton/ActionBarSherlock;7177;10.5;32;253;Java;6.11214953271028;1.9672897196261683;107.34259259000001;26463
crazycodeboy/TakePhoto;https://github.com/crazycodeboy/TakePhoto;7157;6.1;15;13;Java;4.964285714285714;1.2321428571428572;18.77545025;2403
vipshop/vjtools;https://github.com/vipshop/vjtools;7145;3.3;9;51;Java;3.126315789473684;1.2736842105263158;89.92484508;18382
geeeeeeeeek/WeChatLuckyMoney;https://github.com/geeeeeeeeek/WeChatLuckyMoney;7110;5.9;20;62;Java;5.136363636363637;1.3181818181818181;5.282102500000001;931
google/tsunami-security-scanner;https://github.com/google/tsunami-security-scanner;7106;1.3;4;13;Java;5.980487804878049;1.5317073170731708;33.308757289999996;5502
koush/AndroidAsync;https://github.com/koush/AndroidAsync;7095;9.0;0;142;Java;3.6066176470588234;1.5294117647058822;73.437922;18082
leolin310148/ShortcutBadger;https://github.com/leolin310148/ShortcutBadger;7066;7.8;0;69;Java;5.125;1.125;9.898437659999999;885
gedoor/MyBookshelf;https://github.com/gedoor/MyBookshelf;7035;3.2;160;193;Java;6.294629898403484;1.455732946298984;173.3433295499999;50475
signalapp/Signal-Server;https://github.com/signalapp/Signal-Server;7016;7.8;0;83;Java;6.753246753246753;1.2935064935064935;233.40444363499995;34486
davemorrissey/subsampling-scale-image-view;https://github.com/davemorrissey/subsampling-scale-image-view;6998;8.0;21;60;Java;5.5479452054794525;1.5616438356164384;13.35855217;4262
doocs/leetcode;https://github.com/doocs/leetcode;6961;3.0;16;541;Java;2.0987654320987654;0.9876543209876543;11.104484269999997;2011
ogaclejapan/SmartTabLayout;https://github.com/ogaclejapan/SmartTabLayout;6949;6.6;0;30;Java;6.217391304347826;1.608695652173913;10.412930945;1912
google/android-classyshark;https://github.com/google/android-classyshark;6861;5.9;17;99;Java;3.1549295774647885;1.272300469483568;50.72255367999999;8714
hongyangAndroid/okhttputils;https://github.com/hongyangAndroid/okhttputils;6859;6.1;0;28;Java;3.676056338028169;1.4366197183098592;15.392507629999999;1961
Qihoo360/RePlugin;https://github.com/Qihoo360/RePlugin;6854;4.3;17;187;Java;5.133037694013304;1.4146341463414633;122.36960122200001;29380
apache/cassandra;https://github.com/apache/cassandra;6846;12.3;0;1194;Java;7.635051226327228;1.7371934181931077;1764.958732518002;388750
swagger-api/swagger-core;https://github.com/swagger-api/swagger-core;6832;10.2;66;1414;Java;4.9823788546255505;1.2431718061674009;144.3155365549999;31361
alibaba/otter;https://github.com/alibaba/otter;6784;8.1;10;53;Java;4.925154320987654;1.4567901234567902;360.5278222559999;68112
dyc87112/SpringCloud-Learning;https://github.com/dyc87112/SpringCloud-Learning;6774;5.1;0;9;Java;5.8498402555910545;1.0415335463258786;95.08738871999999;13472
barteksc/AndroidPdfViewer;https://github.com/barteksc/AndroidPdfViewer;6745;5.3;0;67;Java;4.862068965517241;1.2241379310344827;13.940169680000002;3328
zhoutaoo/SpringCloud;https://github.com/zhoutaoo/SpringCloud;6743;4.1;0;86;Java;6.475609756097561;1.434959349593496;23.556944490000003;2876
kevin-wayne/algs4;https://github.com/kevin-wayne/algs4;6737;6.0;0;51;Java;4.055147058823529;1.0110294117647058;95.19808882999996;21507
java-native-access/jna;https://github.com/java-native-access/jna;6732;10.4;0;705;Java;4.755929279862009;2.491159982751186;573.270742063;104054
hongyangAndroid/AndroidAutoLayout;https://github.com/hongyangAndroid/AndroidAutoLayout;6717;5.8;0;11;Java;5.7594936708860756;1.9746835443037976;20.521554830000003;2370
goldze/MVVMHabit;https://github.com/goldze/MVVMHabit;6652;4.1;3;6;Java;3.571875;1.26875;43.30526415999998;9110
DroidPluginTeam/DroidPlugin;https://github.com/DroidPluginTeam/DroidPlugin;6632;6.0;2;57;Java;3.298602287166455;4.382465057179162;82.47595111999996;22301
KunMinX/Jetpack-MVVM-Best-Practice;https://github.com/KunMinX/Jetpack-MVVM-Best-Practice;6618;1.9;0;41;Java;4.721311475409836;1.3934426229508197;24.027856490000005;4004
naman14/Timber;https://github.com/naman14/Timber;6612;6.2;5;148;Java;5.387665198237886;1.4581497797356828;87.75889988;21859
abel533/Mapper;https://github.com/abel533/Mapper;6596;6.8;2;81;Java;4.911214953271028;1.2313084112149533;80.306829344;17425
seven332/EhViewer;https://github.com/seven332/EhViewer;6579;7.3;97;73;Java;7.132890365448505;1.818936877076412;172.66593188500008;44372
yanzhenjie/AndPermission;https://github.com/yanzhenjie/AndPermission;6545;5.0;0;21;Java;3.970414201183432;1.1597633136094674;24.489978990000004;4486
NLPchina/elasticsearch-sql;https://github.com/NLPchina/elasticsearch-sql;6494;7.0;165;236;Java;9.056338028169014;1.323943661971831;49.265173473000004;18833
uber/RIBs;https://github.com/uber/RIBs;6470;3.9;4;206;Java;4.46829268292683;1.273170731707317;30.784408096000003;3172
