nameWithOwner;url;stars;age;releases;pullRequests;primaryLanguage
crazycodeboy/TakePhoto;https://github.com/crazycodeboy/TakePhoto;7155;6.1;15;13;Java
vipshop/vjtools;https://github.com/vipshop/vjtools;7142;3.3;9;51;Java
geeeeeeeeek/WeChatLuckyMoney;https://github.com/geeeeeeeeek/WeChatLuckyMoney;7110;5.9;20;62;Java
google/tsunami-security-scanner;https://github.com/google/tsunami-security-scanner;7103;1.3;4;13;Java
koush/AndroidAsync;https://github.com/koush/AndroidAsync;7092;9.0;0;142;Java
leolin310148/ShortcutBadger;https://github.com/leolin310148/ShortcutBadger;7061;7.8;0;69;Java
gedoor/MyBookshelf;https://github.com/gedoor/MyBookshelf;7031;3.2;160;193;Java
signalapp/Signal-Server;https://github.com/signalapp/Signal-Server;7009;7.7;0;82;Java
doocs/source-code-hunter;https://github.com/doocs/source-code-hunter;7003;1.9;0;86;Java
davemorrissey/subsampling-scale-image-view;https://github.com/davemorrissey/subsampling-scale-image-view;6986;8.0;21;60;Java
ogaclejapan/SmartTabLayout;https://github.com/ogaclejapan/SmartTabLayout;6946;6.6;0;30;Java
hongyangAndroid/okhttputils;https://github.com/hongyangAndroid/okhttputils;6859;6.1;0;28;Java
google/android-classyshark;https://github.com/google/android-classyshark;6859;5.9;17;99;Java
Qihoo360/RePlugin;https://github.com/Qihoo360/RePlugin;6852;4.2;17;187;Java
apache/cassandra;https://github.com/apache/cassandra;6841;12.3;0;1185;Java
alibaba/otter;https://github.com/alibaba/otter;6777;8.1;10;53;Java
dyc87112/SpringCloud-Learning;https://github.com/dyc87112/SpringCloud-Learning;6772;5.0;0;9;Java
barteksc/AndroidPdfViewer;https://github.com/barteksc/AndroidPdfViewer;6740;5.3;0;67;Java
kevin-wayne/algs4;https://github.com/kevin-wayne/algs4;6733;6.0;0;51;Java
zhoutaoo/SpringCloud;https://github.com/zhoutaoo/SpringCloud;6727;4.1;0;86;Java
java-native-access/jna;https://github.com/java-native-access/jna;6723;10.4;0;705;Java
hongyangAndroid/AndroidAutoLayout;https://github.com/hongyangAndroid/AndroidAutoLayout;6717;5.8;0;11;Java
goldze/MVVMHabit;https://github.com/goldze/MVVMHabit;6645;4.1;3;6;Java
DroidPluginTeam/DroidPlugin;https://github.com/DroidPluginTeam/DroidPlugin;6629;6.0;2;57;Java
naman14/Timber;https://github.com/naman14/Timber;6610;6.2;5;148;Java
KunMinX/Jetpack-MVVM-Best-Practice;https://github.com/KunMinX/Jetpack-MVVM-Best-Practice;6608;1.9;0;41;Java
abel533/Mapper;https://github.com/abel533/Mapper;6597;6.8;2;81;Java
seven332/EhViewer;https://github.com/seven332/EhViewer;6576;7.3;97;73;Java
yanzhenjie/AndPermission;https://github.com/yanzhenjie/AndPermission;6545;5.0;0;21;Java
NLPchina/elasticsearch-sql;https://github.com/NLPchina/elasticsearch-sql;6491;7.0;165;236;Java
uber/RIBs;https://github.com/uber/RIBs;6465;3.9;4;206;Java
Exrick/xmall;https://github.com/Exrick/xmall;6401;4.1;0;17;Java
Angel-ML/angel;https://github.com/Angel-ML/angel;6383;4.4;19;557;Java
apache/dolphinscheduler;https://github.com/apache/dolphinscheduler;6380;2.5;17;3313;Java
zendesk/android-floating-action-button;https://github.com/zendesk/android-floating-action-button;6343;7.0;0;85;Java
yuanguangxin/LeetCode;https://github.com/yuanguangxin/LeetCode;6293;1.7;0;4;Java
koush/ion;https://github.com/koush/ion;6281;8.3;0;72;Java
apache/storm;https://github.com/apache/storm;6270;7.8;0;3410;Java
vinc3m1/RoundedImageView;https://github.com/vinc3m1/RoundedImageView;6243;8.5;19;51;Java
json-path/JsonPath;https://github.com/json-path/JsonPath;6227;10.6;7;286;Java
GrenderG/Toasty;https://github.com/GrenderG/Toasty;6225;4.6;19;36;Java
gocd/gocd;https://github.com/gocd/gocd;6223;7.7;68;6434;Java
lenve/VBlog;https://github.com/lenve/VBlog;6209;3.7;0;10;Java
checkstyle/checkstyle;https://github.com/checkstyle/checkstyle;6206;8.0;107;6614;Java
spring-projects/spring-security;https://github.com/spring-projects/spring-security;6202;9.7;74;1723;Java
wildfirechat/server;https://github.com/wildfirechat/server;6202;2.6;48;17;Java
Meituan-Dianping/walle;https://github.com/Meituan-Dianping/walle;6188;4.7;1;37;Java
k9mail/k-9;https://github.com/k9mail/k-9;6173;10.6;111;2310;Java
markzhai/AndroidPerformanceMonitor;https://github.com/markzhai/AndroidPerformanceMonitor;6163;5.6;0;32;Java
ionic-team/capacitor;https://github.com/ionic-team/capacitor;6155;3.8;63;1897;Java
google/closure-compiler;https://github.com/google/closure-compiler;6134;7.4;0;1100;Java
ikew0ng/SwipeBackLayout;https://github.com/ikew0ng/SwipeBackLayout;6122;8.0;0;29;Java
rengwuxian/MaterialEditText;https://github.com/rengwuxian/MaterialEditText;6103;6.9;19;58;Java
flyway/flyway;https://github.com/flyway/flyway;6095;8.7;109;466;Java
rey5137/material;https://github.com/rey5137/material;6063;6.7;10;52;Java
pedrovgs/EffectiveAndroidUI;https://github.com/pedrovgs/EffectiveAndroidUI;6061;7.2;0;11;Java
SonarSource/sonarqube;https://github.com/SonarSource/sonarqube;6058;10.7;11;3273;Java
NanoHttpd/nanohttpd;https://github.com/NanoHttpd/nanohttpd;6045;9.1;3;204;Java
google/physical-web;https://github.com/google/physical-web;6037;6.9;17;561;Java
dromara/Sa-Token;https://github.com/dromara/Sa-Token;6024;1.6;20;11;Java
TechEmpower/FrameworkBenchmarks;https://github.com/TechEmpower/FrameworkBenchmarks;6016;8.5;15;5576;Java
processing/processing;https://github.com/processing/processing;5985;8.6;48;1041;Java
NLPchina/ansj_seg;https://github.com/NLPchina/ansj_seg;5980;9.0;3;93;Java
smuyyh/BookReader;https://github.com/smuyyh/BookReader;5965;5.1;0;12;Java
antoniolg/androidmvp;https://github.com/antoniolg/androidmvp;5957;7.4;0;23;Java
singwhatiwanna/dynamic-load-apk;https://github.com/singwhatiwanna/dynamic-load-apk;5947;7.4;0;53;Java
zouzg/mybatis-generator-gui;https://github.com/zouzg/mybatis-generator-gui;5940;5.3;16;57;Java
daimajia/NumberProgressBar;https://github.com/daimajia/NumberProgressBar;5937;7.4;3;23;Java
aa112901/remusic;https://github.com/aa112901/remusic;5912;5.5;0;3;Java
li-xiaojun/XPopup;https://github.com/li-xiaojun/XPopup;5906;2.8;155;15;Java
ArthurHub/Android-Image-Cropper;https://github.com/ArthurHub/Android-Image-Cropper;5881;6.6;32;98;Java
Graylog2/graylog2-server;https://github.com/Graylog2/graylog2-server;5835;11.3;28;5619;Java
react-native-video/react-native-video;https://github.com/react-native-video/react-native-video;5830;6.4;5;529;Java
kekingcn/kkFileView;https://github.com/kekingcn/kkFileView;5826;3.7;10;145;Java
google/j2objc;https://github.com/google/j2objc;5821;7.6;39;725;Java
AsyncHttpClient/async-http-client;https://github.com/AsyncHttpClient/async-http-client;5816;10.5;0;522;Java
cryptomator/cryptomator;https://github.com/cryptomator/cryptomator;5761;7.6;110;166;Java
ityouknow/spring-cloud-examples;https://github.com/ityouknow/spring-cloud-examples;5750;4.4;0;27;Java
JakeWharton/u2020;https://github.com/JakeWharton/u2020;5734;7.8;0;242;Java
Nightonke/BoomMenu;https://github.com/Nightonke/BoomMenu;5730;5.5;0;7;Java
weibocom/motan;https://github.com/weibocom/motan;5723;5.4;16;199;Java
prolificinteractive/material-calendarview;https://github.com/prolificinteractive/material-calendarview;5719;6.6;22;225;Java
Devlight/InfiniteCycleViewPager;https://github.com/Devlight/InfiniteCycleViewPager;5696;5.0;2;6;Java
google/error-prone;https://github.com/google/error-prone;5689;7.0;15;1328;Java
real-logic/aeron;https://github.com/real-logic/aeron;5672;7.6;77;617;Java
daimajia/AndroidImageSlider;https://github.com/daimajia/AndroidImageSlider;5644;7.3;5;49;Java
nhaarman/ListViewAnimations;https://github.com/nhaarman/ListViewAnimations;5642;8.5;14;78;Java
sohutv/cachecloud;https://github.com/sohutv/cachecloud;5639;5.6;5;42;Java
JakeWharton/DiskLruCache;https://github.com/JakeWharton/DiskLruCache;5620;9.7;0;50;Java
wasabeef/richeditor-android;https://github.com/wasabeef/richeditor-android;5610;6.4;0;36;Java
react-native-svg/react-native-svg;https://github.com/react-native-svg/react-native-svg;5609;5.6;75;362;Java
sshahine/JFoenix;https://github.com/sshahine/JFoenix;5604;6.0;0;157;Java
ximsfei/Android-skin-support;https://github.com/ximsfei/Android-skin-support;5576;4.7;0;25;Java
febsteam/FEBS-Shiro;https://github.com/febsteam/FEBS-Shiro;5565;3.5;0;67;Java
amlcurran/ShowcaseView;https://github.com/amlcurran/ShowcaseView;5562;9.1;13;137;Java
joelittlejohn/jsonschema2pojo;https://github.com/joelittlejohn/jsonschema2pojo;5552;8.2;58;320;Java
lets-blade/blade;https://github.com/lets-blade/blade;5550;6.2;9;180;Java
hongyangAndroid/FlowLayout;https://github.com/hongyangAndroid/FlowLayout;5524;6.0;0;16;Java
dmytrodanylyk/circular-progress-button;https://github.com/dmytrodanylyk/circular-progress-button;5517;7.3;0;27;Java
