nameWithOwner;url;star;age;lastUpdate;releases;issuesOpen;issuesClosed;issuesProportion;pullRequests;primaryLanguage
Homebrew/homebrew-cask;https://github.com/Homebrew/homebrew-cask;18470;3464;0;81;19;5887;0.003227450314251741;89061;Ruby
Popmotion/popmotion;https://github.com/Popmotion/popmotion;18412;2569;2;0;24;545;0.044036697247706424;292;JavaScript
notable/notable;https://github.com/notable/notable;18399;981;0;20;558;866;0.6443418013856813;25;TypeScript
js-cookie/js-cookie;https://github.com/js-cookie/js-cookie;18395;2355;0;33;1;478;0.0020920502092050207;59;JavaScript
docsifyjs/docsify;https://github.com/docsifyjs/docsify;18388;1743;0;11;128;859;0.1490104772991851;447;JavaScript
benweet/stackedit;https://github.com/benweet/stackedit;18383;3080;0;13;621;990;0.6272727272727273;35;JavaScript
ruby/ruby;https://github.com/ruby/ruby;18379;4201;0;0;0;0;None;1719;Ruby
dhg/Skeleton;https://github.com/dhg/Skeleton;18373;3773;0;6;74;124;0.5967741935483871;25;CSS
vuejs/vue-router;https://github.com/vuejs/vue-router;18330;2817;0;82;65;2621;0.02479969477298741;583;JavaScript
zsh-users/zsh-autosuggestions;https://github.com/zsh-users/zsh-autosuggestions;18325;2864;0;0;70;386;0.18134715025906736;104;Shell
homebridge/homebridge;https://github.com/homebridge/homebridge;18318;2463;0;23;13;2589;0.005021243723445346;284;TypeScript
Awesome-HarmonyOS/HarmonyOS;https://github.com/Awesome-HarmonyOS/HarmonyOS;18218;751;1;0;0;0;None;15;C
coder2gwy/coder2gwy;https://github.com/coder2gwy/coder2gwy;18217;242;0;0;91;20;4.55;2;None
ruanyf/jstraining;https://github.com/ruanyf/jstraining;18199;1767;0;0;0;41;0.0;17;None
viraptor/reverse-interview;https://github.com/viraptor/reverse-interview;18197;721;0;0;7;14;0.5;51;None
ehang-io/nps;https://github.com/ehang-io/nps;18193;1029;0;59;155;620;0.25;71;Go
rust-lang/rustlings;https://github.com/rust-lang/rustlings;18183;2175;0;23;57;255;0.2235294117647059;390;Rust
v8/v8;https://github.com/v8/v8;18183;2531;0;0;0;0;None;0;C++
google/ExoPlayer;https://github.com/google/ExoPlayer;18178;2633;0;13;523;7766;0.0673448364666495;501;Java
alpinejs/alpine;https://github.com/alpinejs/alpine;18164;640;0;79;0;530;0.0;332;HTML
OWASP/CheatSheetSeries;https://github.com/OWASP/CheatSheetSeries;18154;982;0;0;28;198;0.1414141414141414;438;Python
reduxjs/reselect;https://github.com/reduxjs/reselect;18152;2251;0;22;32;298;0.10738255033557047;98;JavaScript
tsenart/vegeta;https://github.com/tsenart/vegeta;18151;2938;0;63;68;299;0.22742474916387959;130;Go
validatorjs/validator.js;https://github.com/validatorjs/validator.js;18113;3980;0;8;110;728;0.1510989010989011;554;JavaScript
palantir/blueprint;https://github.com/palantir/blueprint;18088;1768;0;110;588;1908;0.3081761006289308;1964;TypeScript
square/picasso;https://github.com/square/picasso;18087;3029;0;7;191;1344;0.14211309523809523;474;Java
numpy/numpy;https://github.com/numpy/numpy;18086;4002;0;71;2094;7752;0.27012383900928794;7882;Python
nikitavoloboev/my-mac-os;https://github.com/nikitavoloboev/my-mac-os;17998;2004;0;0;2;71;0.028169014084507043;16;None
mozilla/DeepSpeech;https://github.com/mozilla/DeepSpeech;17993;1914;0;105;103;1919;0.053673788431474724;1337;C++
datawhalechina/pumpkin-book;https://github.com/datawhalechina/pumpkin-book;17920;981;0;4;17;46;0.3695652173913043;43;None
ruanyf/weekly;https://github.com/ruanyf/weekly;17898;1051;0;0;1474;360;4.094444444444444;43;None
Baseflow/PhotoView;https://github.com/Baseflow/PhotoView;17895;3330;0;5;171;475;0.36;54;Java
popperjs/popper-core;https://github.com/popperjs/popper-core;17884;1979;0;143;18;705;0.02553191489361702;430;JavaScript
sebastianbergmann/phpunit;https://github.com/sebastianbergmann/phpunit;17828;4266;0;0;122;2870;0.04250871080139373;744;PHP
celery/celery;https://github.com/celery/celery;17821;4510;0;23;470;4058;0.11582060128141942;1567;Python
SnapKit/SnapKit;https://github.com/SnapKit/SnapKit;17791;2641;0;11;75;449;0.16703786191536749;118;Swift
jenkinsci/jenkins;https://github.com/jenkinsci/jenkins;17767;3932;0;122;0;0;None;4127;Java
facebookresearch/detectron2;https://github.com/facebookresearch/detectron2;17763;723;0;9;104;2493;0.041716807059767345;0;Python
PKUanonym/REKCARC-TSC-UHT;https://github.com/PKUanonym/REKCARC-TSC-UHT;17739;877;0;0;8;14;0.5714285714285714;80;HTML
alibaba/weex;https://github.com/alibaba/weex;17706;1997;0;7;27;1855;0.014555256064690027;1087;C++
DrKLO/Telegram;https://github.com/DrKLO/Telegram;17699;2865;0;68;0;0;None;19;Java
winstonjs/winston;https://github.com/winstonjs/winston;17698;3895;0;4;359;897;0.40022296544035674;361;JavaScript
meilisearch/MeiliSearch;https://github.com/meilisearch/MeiliSearch;17696;1224;0;54;49;635;0.07716535433070866;583;Rust
supabase/supabase;https://github.com/supabase/supabase;17688;687;0;14;136;409;0.33251833740831294;585;TypeScript
marmelab/react-admin;https://github.com/marmelab/react-admin;17659;1873;0;201;122;3100;0.03935483870967742;2734;TypeScript
k3s-io/k3s;https://github.com/k3s-io/k3s;17658;1186;0;260;471;1974;0.23860182370820668;1159;Go
nostalgic-css/NES.css;https://github.com/nostalgic-css/NES.css;17658;1070;0;7;32;138;0.2318840579710145;222;SCSS
coolsnowwolf/lede;https://github.com/coolsnowwolf/lede;17596;1453;0;1;115;5423;0.021205974552830537;1041;C
apache/skywalking;https://github.com/apache/skywalking;17586;2122;0;46;72;3763;0.019133669944193462;3186;Java
wenyan-lang/wenyan;https://github.com/wenyan-lang/wenyan;17573;629;0;13;166;300;0.5533333333333333;166;TypeScript
zyedidia/micro;https://github.com/zyedidia/micro;17561;1997;0;32;472;1096;0.4306569343065693;486;Go
sideway/joi;https://github.com/sideway/joi;17556;3269;0;0;86;1981;0.04341241797072186;393;JavaScript
airyland/vux;https://github.com/airyland/vux;17509;2022;0;79;453;2836;0.15973201692524683;325;Vue
microsoft/api-guidelines;https://github.com/microsoft/api-guidelines;17491;1873;0;0;52;62;0.8387096774193549;96;None
eligrey/FileSaver.js;https://github.com/eligrey/FileSaver.js;17485;3698;0;14;117;457;0.25601750547045954;65;JavaScript
BoostIO/BoostNote-Legacy;https://github.com/BoostIO/BoostNote-Legacy;17446;2002;0;15;442;1899;0.23275408109531331;1073;JavaScript
microsoft/ML-For-Beginners;https://github.com/microsoft/ML-For-Beginners;17371;179;0;0;11;71;0.15492957746478872;163;Jupyter Notebook
npm/npm;https://github.com/npm/npm;17309;4352;1;261;2166;16502;0.13125681735547207;439;None
eggjs/egg;https://github.com/eggjs/egg;17298;1898;0;83;186;3451;0.05389742103738047;964;JavaScript
deezer/spleeter;https://github.com/deezer/spleeter;17298;703;0;1;88;481;0.18295218295218296;41;Python
fish-shell/fish-shell;https://github.com/fish-shell/fish-shell;17294;3398;0;33;428;5434;0.07876334192123666;1204;Shell
n8n-io/n8n;https://github.com/n8n-io/n8n;17279;799;0;0;30;388;0.07731958762886598;1050;TypeScript
google/eng-practices;https://github.com/google/eng-practices;17265;724;0;0;3;4;0.75;8;None
